birthDate,playerID
1940-01-27,harpete01
1940-03-22,keonda01
1940-10-03,ratelje01
1942-02-20,esposph01
1943-04-23,esposto01
1944-03-14,nedomva01
1945-01-08,ellisro01
1945-01-29,stephwa01
1945-03-28,schmabo01
1945-06-24,cashmwa01
1945-09-08,vachoro01
1945-09-25,vadnaca01
1945-09-27,kearnde01
1945-11-10,smithal02
1945-12-09,libetni01
1945-12-18,pronoje01
1946-01-22,savarse01
1946-01-28,shmyrpa01
1946-02-26,doakga01
1946-10-10,mahovpe01
1946-11-20,murdobo01
1947-02-07,lonsbro01
1947-04-12,abrahth01
1947-04-15,marcodo01
1947-04-29,bernise01
1947-06-19,mckecwa01
1947-09-29,tkaczwa01
1947-10-05,edwarga01
1947-10-09,thomawa01
1947-12-07,ungerga01
1948-01-01,hartge01
1948-01-19,keaed01
1948-02-20,bouchpi01
1948-03-18,lapoigu01
1948-03-22,marksjo01
1948-03-28,ketolve01
1948-06-29,smithri01
1948-07-06,parkbr01
1948-07-10,reschgl01
1948-09-15,korabje01
1948-10-02,lucedo01
1948-10-28,drouiju01
1948-11-01,myreph01
1948-11-02,leyri01
1948-12-31,roberre01
1949-01-03,longba01
1949-01-11,sheehbo01
1949-01-11,burroda01
1949-01-24,charrgu01
1949-01-31,dudleri01
1949-02-17,rutheji01
1949-03-25,potvije01
1949-03-31,gilbegi01
1949-04-23,sheppgr01
1949-05-28,innesga01
1949-06-01,plassmi01
1949-06-12,tardima01
1949-07-08,hoganda01
1949-07-27,duponan01
1949-08-13,clarkbo01
1949-08-14,redmodi01
1949-08-15,boldiiv01
1949-08-26,stackro01
1949-10-17,wilsobe01
1949-10-22,gorinbu01
1949-10-25,houlere01
1949-11-29,labreyv01
1949-12-20,chrismi01
1950-01-03,macleri01
1950-01-19,bromlga01
1950-01-20,leflech01
1950-01-26,barrefr01
1950-01-26,hlinkiv01
1950-01-27,bublaji01
1950-04-13,crhaji01
1950-04-23,leachre01
1950-05-11,nilssul01
1950-05-20,lambeyv01
1950-05-28,thomper01
1950-06-07,graharo02
1950-06-21,lowro01
1950-07-12,melocgi01
1950-07-20,murrate01
1950-09-07,oddlech01
1950-09-12,murphmi01
1950-09-14,kindror01
1950-09-18,sittlda01
1950-09-24,malonda01
1950-09-29,edberro01
1950-09-30,brasape01
1950-11-13,perregi01
1950-11-25,kellybo01
1950-12-12,bouchda01
1950-12-12,smithbi01
1950-12-20,clemebi01
1950-12-22,fitchbo01
1951-02-25,hedbean01
