playerID,year,firstName,lastName,pos,tmID,GP,G,A,Pts,SOG
abrahth01,1980,Thommy,Abrahamsson,D,HAR,32.0,6.0,11.0,17.0,66.0
actonke01,1980,Keith,Acton,C,MTL,61.0,15.0,24.0,39.0,101.0
adamsgr01,1980,Greg,Adams,L,PHI,6.0,3.0,0.0,3.0,6.0
alleyst01,1980,Steve,Alley,L,HAR,8.0,2.0,2.0,4.0,10.0
allismi01,1980,Mike,Allison,L,NYR,75.0,26.0,38.0,64.0,122.0
allisra01,1980,Ray,Allison,R,HAR,6.0,1.0,0.0,1.0,6.0
andergl01,1980,Glenn,Anderson,R,EDM,58.0,30.0,23.0,53.0,160.0
anderjo01,1980,John,Anderson,L,TOR,75.0,17.0,26.0,43.0,142.0
anderke01,1980,Kent-Erik,Andersson,R,MNS,77.0,17.0,24.0,41.0,127.0
anderru01,1980,Russ,Anderson,D,PIT,34.0,3.0,14.0,17.0,38.0
arthufr01,1980,Fred,Arthur,D,HAR,3.0,0.0,0.0,0.0,3.0
ashbydo01,1980,Don,Ashby,C,EDM,6.0,2.0,3.0,5.0,13.0
ashtobr01,1980,Brent,Ashton,L,VAN,77.0,18.0,11.0,29.0,111.0
astroha01,1980,Hardy,Astrom,G,COR,30.0,0.0,1.0,1.0,0.0
attwebo01,1980,Bob,Attwell,R,COR,15.0,0.0,4.0,4.0,11.0
aubrypi01,1980,Pierre,Aubry,C,QUE,1.0,0.0,0.0,0.0,0.0
augele01,1980,Les,Auge,D,COR,6.0,0.0,3.0,3.0,3.0
babycda01,1980,Dave,Babych,D,WIN,69.0,6.0,38.0,44.0,209.0
babycwa01,1980,Wayne,Babych,R,STL,78.0,54.0,42.0,96.0,306.0
bailere01,1980,Reid,Bailey,D,PHI,17.0,1.0,3.0,4.0,16.0
bakerbi01,1980,Bill,Baker,D,MTL,11.0,0.0,0.0,0.0,8.0
bakerbi01,1980,Bill,Baker,D,COR,13.0,0.0,3.0,3.0,17.0
bakerst01,1980,Steve,Baker,G,NYR,21.0,0.0,0.0,0.0,0.0
banduje01,1980,Jeff,Bandura,D,NYR,2.0,0.0,1.0,1.0,2.0
bannemu01,1980,Murray,Bannerman,G,CHI,15.0,0.0,0.0,0.0,0.0
barbebi01,1980,Bill,Barber,L,PHI,80.0,43.0,42.0,85.0,292.0
barneno01,1980,Norm,Barnes,D,PHI,22.0,0.0,3.0,3.0,12.0
barneno01,1980,Norm,Barnes,D,HAR,54.0,1.0,10.0,11.0,72.0
baronma01,1980,Marco,Baron,G,BOS,10.0,0.0,0.0,0.0,0.0
barrefr01,1980,Fred,Barrett,D,MNS,62.0,4.0,8.0,12.0,73.0
barrejo01,1980,John,Barrett,D,DET,56.0,3.0,10.0,13.0,97.0
bathefr01,1980,Frank,Bathe,D,PHI,44.0,0.0,3.0,3.0,35.0
baxtepa01,1980,Paul,Baxter,D,PIT,51.0,5.0,14.0,19.0,62.0
beadlsa01,1980,Sandy,Beadle,L,WIN,6.0,1.0,0.0,1.0,7.0
beaupdo01,1980,Don,Beaupre,G,MNS,44.0,0.0,1.0,1.0,0.0
beckba01,1980,Barry,Beck,D,NYR,75.0,11.0,23.0,34.0,182.0
bernise01,1980,Serge,Bernier,C,QUE,46.0,2.0,8.0,10.0,35.0
berrydo01,1980,Doug,Berry,C,COR,46.0,3.0,10.0,13.0,44.0
bladoto01,1980,Tom,Bladon,D,EDM,1.0,0.0,0.0,0.0,0.0
bladoto01,1980,Tom,Bladon,D,WIN,9.0,0.0,5.0,5.0,13.0
bladoto01,1980,Tom,Bladon,D,DET,2.0,0.0,0.0,0.0,1.0
blaismi01,1980,Mike,Blaisdell,R,DET,32.0,3.0,6.0,9.0,45.0
blighri01,1980,Rick,Blight,R,VAN,3.0,1.0,0.0,1.0,9.0
boldiiv01,1980,Ivan,Boldirev,C,VAN,72.0,26.0,33.0,59.0,195.0
bonarda01,1980,Dan,Bonar,C,LAK,71.0,11.0,15.0,26.0,64.0
boschla01,1980,Laurie,Boschman,C,TOR,53.0,14.0,19.0,33.0,70.0
bossymi01,1980,Mike,Bossy,R,NYI,79.0,68.0,51.0,119.0,315.0
bothwti01,1980,Tim,Bothwell,D,NYR,3.0,0.0,1.0,1.0,0.0
bouchda01,1980,Dan,Bouchard,G,CAL,14.0,0.0,4.0,4.0,0.0
bouchda01,1980,Dan,Bouchard,G,QUE,29.0,0.0,0.0,0.0,0.0
bouchpi01,1980,Pierre,Bouchard,D,WAS,50.0,3.0,7.0,10.0,36.0
boudrbr01,1980,Bruce,Boudreau,C,TOR,39.0,10.0,14.0,24.0,47.0
bournbo01,1980,Bob,Bourne,C,NYI,78.0,35.0,41.0,76.0,195.0
bourqra01,1980,Raymond,Bourque,D,BOS,67.0,27.0,29.0,56.0,207.0
boutepa01,1980,Pat,Boutette,R,HAR,80.0,28.0,52.0,80.0,182.0
boutiro01,1980,Rollie,Boutin,G,WAS,2.0,0.0,0.0,0.0,0.0
bowneri01,1980,Rick,Bowness,R,WIN,45.0,8.0,17.0,25.0,55.0
brackcu01,1980,Curt,Brackenbury,R,EDM,58.0,2.0,7.0,9.0,20.0
brasape01,1980,Per-Olov,Brasar,L,VAN,80.0,22.0,41.0,63.0,167.0
bridgme01,1980,Mel,Bridgman,C,PHI,77.0,14.0,37.0,51.0,138.0
broderi01,1980,Richard,Brodeur,G,VAN,52.0,0.0,0.0,0.0,0.0
bromlga01,1980,Gary,Bromley,G,VAN,20.0,0.0,1.0,1.0,0.0
broteaa01,1980,Aaron,Broten,L,COR,2.0,0.0,0.0,0.0,1.0
brotene01,1980,Neal,Broten,C,MNS,3.0,2.0,0.0,2.0,6.0
brownja01,1980,Jack,Brownschidle,D,STL,71.0,5.0,23.0,28.0,96.0
brownke02,1980,Keith,Brown,D,CHI,80.0,9.0,34.0,43.0,130.0
brubaje01,1980,Jeff,Brubaker,L,HAR,43.0,5.0,3.0,8.0,29.0
brumwmu01,1980,Murray,Brumwell,D,MNS,1.0,0.0,0.0,0.0,0.0
bullami01,1980,Mike,Bullard,C,PIT,15.0,1.0,2.0,3.0,18.0
bullete01,1980,Ted,Bulley,L,CHI,68.0,18.0,16.0,34.0,112.0
burnsga01,1980,Gary,Burns,F,NYR,11.0,2.0,2.0,4.0,13.0
burroda01,1980,Dave,Burrows,D,TOR,6.0,0.0,0.0,0.0,3.0
burroda01,1980,Dave,Burrows,D,PIT,53.0,0.0,2.0,2.0,32.0
busnimi01,1980,Mike,Busniuk,F,PHI,72.0,1.0,5.0,6.0,33.0
butleje01,1980,Jerry,Butler,R,VAN,80.0,12.0,15.0,27.0,99.0
callibr01,1980,Brett,Callighen,L,EDM,55.0,25.0,35.0,60.0,127.0
cameral01,1980,Al,Cameron,D,WIN,29.0,1.0,2.0,3.0,16.0
campbco01,1980,Colin,Campbell,D,VAN,42.0,1.0,8.0,9.0,37.0
campbsc01,1980,Scott,Campbell,D,WIN,14.0,1.0,4.0,5.0,12.0
carbogu01,1980,Guy,Carbonneau,C,MTL,2.0,0.0,1.0,1.0,1.0
carlsja01,1980,Jack,Carlson,L,MNS,43.0,7.0,2.0,9.0,24.0
carlyra01,1980,Randy,Carlyle,D,PIT,76.0,16.0,67.0,83.0,242.0
carrobi01,1980,Billy,Carroll,C,NYI,18.0,4.0,4.0,8.0,25.0
cashmwa01,1980,Wayne,Cashman,L,BOS,77.0,25.0,35.0,60.0,111.0
cassoto01,1980,Tony,Cassolato,R,WAS,2.0,0.0,0.0,0.0,1.0
