,year,tmID,SepW,SepL,SepT,SepOL,OctW,OctL,OctT,OctOL,NovW,NovL,NovT,NovOL,DecW,DecL,DecT,DecOL,JanW,JanL,JanT,JanOL,FebW,FebL,FebT,FebOL,MarW,MarL,MarT,MarOL,AprW,AprL,AprT,AprOL
727,1980,BOS,,,,,2.0,7.0,1.0,,5.0,3.0,5.0,,6.0,6.0,1.0,,9.0,4.0,1.0,,6.0,4.0,2.0,,8.0,4.0,3.0,,1.0,2.0,0.0,
728,1980,BUF,,,,,5.0,2.0,2.0,,8.0,4.0,3.0,,5.0,3.0,4.0,,6.0,1.0,7.0,,6.0,3.0,3.0,,8.0,6.0,1.0,,1.0,1.0,1.0,
729,1980,CAL,,,,,5.0,4.0,2.0,,5.0,5.0,3.0,,6.0,3.0,3.0,,6.0,7.0,3.0,,9.0,2.0,1.0,,6.0,6.0,2.0,,2.0,0.0,0.0,
730,1980,CHI,,,,,6.0,4.0,2.0,,3.0,8.0,3.0,,3.0,9.0,1.0,,9.0,3.0,1.0,,5.0,3.0,4.0,,4.0,5.0,4.0,,1.0,1.0,1.0,
731,1980,COR,,,,,4.0,4.0,2.0,,5.0,6.0,2.0,,4.0,9.0,2.0,,3.0,8.0,2.0,,2.0,8.0,2.0,,4.0,9.0,1.0,,0.0,1.0,2.0,
732,1980,DET,,,,,2.0,7.0,1.0,,1.0,8.0,3.0,,7.0,4.0,3.0,,3.0,7.0,4.0,,5.0,6.0,1.0,,1.0,9.0,5.0,,0.0,2.0,1.0,
733,1980,EDM,,,,,2.0,4.0,3.0,,4.0,8.0,2.0,,2.0,9.0,1.0,,8.0,4.0,2.0,,5.0,7.0,2.0,,6.0,3.0,5.0,,2.0,0.0,1.0,
734,1980,HAR,,,,,5.0,4.0,2.0,,3.0,8.0,2.0,,5.0,3.0,4.0,,2.0,10.0,3.0,,2.0,5.0,5.0,,3.0,9.0,2.0,,1.0,2.0,0.0,
735,1980,LAK,,,,,7.0,1.0,1.0,,9.0,5.0,0.0,,8.0,4.0,3.0,,7.0,5.0,3.0,,3.0,6.0,2.0,,9.0,2.0,3.0,,0.0,1.0,1.0,
736,1980,MNS,,,,,5.0,1.0,2.0,,7.0,4.0,2.0,,6.0,4.0,4.0,,7.0,5.0,4.0,,4.0,8.0,2.0,,5.0,5.0,3.0,,1.0,1.0,0.0,
737,1980,MTL,,,,,3.0,6.0,1.0,,9.0,4.0,1.0,,8.0,3.0,2.0,,7.0,5.0,2.0,,9.0,0.0,3.0,,7.0,4.0,4.0,,2.0,0.0,0.0,
738,1980,NYI,,,,,4.0,4.0,3.0,,12.0,1.0,2.0,,8.0,2.0,3.0,,9.0,5.0,0.0,,5.0,5.0,2.0,,7.0,1.0,4.0,,3.0,0.0,0.0,
739,1980,NYR,,,,,3.0,7.0,1.0,,3.0,7.0,3.0,,7.0,6.0,1.0,,6.0,4.0,3.0,,5.0,7.0,1.0,,4.0,4.0,5.0,,2.0,1.0,0.0,
740,1980,PHI,,,,,7.0,3.0,1.0,,10.0,2.0,3.0,,7.0,4.0,1.0,,6.0,5.0,3.0,,6.0,5.0,2.0,,5.0,4.0,4.0,,0.0,1.0,1.0,
741,1980,PIT,,,,,4.0,5.0,1.0,,2.0,8.0,3.0,,5.0,6.0,3.0,,6.0,6.0,1.0,,7.0,5.0,1.0,,5.0,6.0,3.0,,1.0,1.0,1.0,
742,1980,QUE,,,,,1.0,6.0,3.0,,4.0,6.0,3.0,,5.0,6.0,2.0,,2.0,8.0,5.0,,10.0,2.0,0.0,,8.0,2.0,4.0,,0.0,2.0,1.0,
743,1980,STL,,,,,6.0,2.0,3.0,,9.0,4.0,1.0,,9.0,3.0,1.0,,6.0,3.0,3.0,,8.0,1.0,5.0,,6.0,4.0,3.0,,1.0,1.0,1.0,
744,1980,TOR,,,,,6.0,3.0,1.0,,3.0,7.0,2.0,,4.0,8.0,2.0,,4.0,8.0,4.0,,6.0,4.0,1.0,,4.0,7.0,3.0,,1.0,0.0,2.0,
745,1980,VAN,,,,,6.0,3.0,1.0,,7.0,4.0,4.0,,4.0,4.0,5.0,,3.0,5.0,5.0,,2.0,9.0,2.0,,6.0,5.0,2.0,,0.0,2.0,1.0,
