,year,tmID,SepW,SepL,SepT,SepOL,OctW,OctL,OctT,OctOL,NovW,NovL,NovT,NovOL,DecW,DecL,DecT,DecOL,JanW,JanL,JanT,JanOL,FebW,FebL,FebT,FebOL,MarW,MarL,MarT,MarOL,AprW,AprL,AprT,AprOL,name
0,1980,BOS,,,,,2.0,7.0,1.0,,5.0,3.0,5.0,,6.0,6.0,1.0,,9.0,4.0,1.0,,6.0,4.0,2.0,,8.0,4.0,3.0,,1.0,2.0,0.0,,Boston Bruins
1,1980,BUF,,,,,5.0,2.0,2.0,,8.0,4.0,3.0,,5.0,3.0,4.0,,6.0,1.0,7.0,,6.0,3.0,3.0,,8.0,6.0,1.0,,1.0,1.0,1.0,,Buffalo Sabres
2,1980,CAL,,,,,5.0,4.0,2.0,,5.0,5.0,3.0,,6.0,3.0,3.0,,6.0,7.0,3.0,,9.0,2.0,1.0,,6.0,6.0,2.0,,2.0,0.0,0.0,,Calgary Flames
3,1980,CHI,,,,,6.0,4.0,2.0,,3.0,8.0,3.0,,3.0,9.0,1.0,,9.0,3.0,1.0,,5.0,3.0,4.0,,4.0,5.0,4.0,,1.0,1.0,1.0,,Chicago Black Hawks
4,1980,COR,,,,,4.0,4.0,2.0,,5.0,6.0,2.0,,4.0,9.0,2.0,,3.0,8.0,2.0,,2.0,8.0,2.0,,4.0,9.0,1.0,,0.0,1.0,2.0,,Colorado Rockies
5,1980,DET,,,,,2.0,7.0,1.0,,1.0,8.0,3.0,,7.0,4.0,3.0,,3.0,7.0,4.0,,5.0,6.0,1.0,,1.0,9.0,5.0,,0.0,2.0,1.0,,Detroit Red Wings
6,1980,EDM,,,,,2.0,4.0,3.0,,4.0,8.0,2.0,,2.0,9.0,1.0,,8.0,4.0,2.0,,5.0,7.0,2.0,,6.0,3.0,5.0,,2.0,0.0,1.0,,Edmonton Oilers
7,1980,HAR,,,,,5.0,4.0,2.0,,3.0,8.0,2.0,,5.0,3.0,4.0,,2.0,10.0,3.0,,2.0,5.0,5.0,,3.0,9.0,2.0,,1.0,2.0,0.0,,Hartford Whalers
8,1980,LAK,,,,,7.0,1.0,1.0,,9.0,5.0,0.0,,8.0,4.0,3.0,,7.0,5.0,3.0,,3.0,6.0,2.0,,9.0,2.0,3.0,,0.0,1.0,1.0,,Los Angeles Kings
9,1980,MNS,,,,,5.0,1.0,2.0,,7.0,4.0,2.0,,6.0,4.0,4.0,,7.0,5.0,4.0,,4.0,8.0,2.0,,5.0,5.0,3.0,,1.0,1.0,0.0,,Minnesota North Stars
10,1980,MTL,,,,,3.0,6.0,1.0,,9.0,4.0,1.0,,8.0,3.0,2.0,,7.0,5.0,2.0,,9.0,0.0,3.0,,7.0,4.0,4.0,,2.0,0.0,0.0,,Montreal Canadiens
11,1980,NYI,,,,,4.0,4.0,3.0,,12.0,1.0,2.0,,8.0,2.0,3.0,,9.0,5.0,0.0,,5.0,5.0,2.0,,7.0,1.0,4.0,,3.0,0.0,0.0,,New York Islanders
12,1980,NYR,,,,,3.0,7.0,1.0,,3.0,7.0,3.0,,7.0,6.0,1.0,,6.0,4.0,3.0,,5.0,7.0,1.0,,4.0,4.0,5.0,,2.0,1.0,0.0,,New York Rangers
13,1980,PHI,,,,,7.0,3.0,1.0,,10.0,2.0,3.0,,7.0,4.0,1.0,,6.0,5.0,3.0,,6.0,5.0,2.0,,5.0,4.0,4.0,,0.0,1.0,1.0,,Philadelphia Flyers
14,1980,PIT,,,,,4.0,5.0,1.0,,2.0,8.0,3.0,,5.0,6.0,3.0,,6.0,6.0,1.0,,7.0,5.0,1.0,,5.0,6.0,3.0,,1.0,1.0,1.0,,Pittsburgh Penguins
15,1980,QUE,,,,,1.0,6.0,3.0,,4.0,6.0,3.0,,5.0,6.0,2.0,,2.0,8.0,5.0,,10.0,2.0,0.0,,8.0,2.0,4.0,,0.0,2.0,1.0,,Quebec Nordiques
16,1980,STL,,,,,6.0,2.0,3.0,,9.0,4.0,1.0,,9.0,3.0,1.0,,6.0,3.0,3.0,,8.0,1.0,5.0,,6.0,4.0,3.0,,1.0,1.0,1.0,,St. Louis Blues
17,1980,TOR,,,,,6.0,3.0,1.0,,3.0,7.0,2.0,,4.0,8.0,2.0,,4.0,8.0,4.0,,6.0,4.0,1.0,,4.0,7.0,3.0,,1.0,0.0,2.0,,Toronto Maple Leafs
18,1980,VAN,,,,,6.0,3.0,1.0,,7.0,4.0,4.0,,4.0,4.0,5.0,,3.0,5.0,5.0,,2.0,9.0,2.0,,6.0,5.0,2.0,,0.0,2.0,1.0,,Vancouver Canucks
19,1980,WAS,,,,,3.0,4.0,3.0,,5.0,2.0,6.0,,5.0,7.0,2.0,,5.0,8.0,1.0,,1.0,7.0,4.0,,5.0,7.0,2.0,,2.0,1.0,0.0,,Washington Capitals
20,1980,WIN,,,,,1.0,6.0,2.0,,0.0,10.0,5.0,,1.0,12.0,0.0,,4.0,7.0,3.0,,1.0,10.0,1.0,,2.0,11.0,1.0,,0.0,1.0,2.0,,Winnipeg Jets
21,1981,BOS,,,,,6.0,2.0,3.0,,7.0,5.0,1.0,,9.0,3.0,0.0,,7.0,6.0,3.0,,5.0,5.0,1.0,,7.0,5.0,2.0,,2.0,1.0,0.0,,Boston Bruins
22,1981,BUF,,,,,5.0,3.0,3.0,,7.0,2.0,4.0,,8.0,5.0,1.0,,9.0,4.0,1.0,,4.0,5.0,3.0,,5.0,6.0,3.0,,1.0,1.0,0.0,,Buffalo Sabres
23,1981,CAL,,,,,2.0,7.0,2.0,,5.0,5.0,4.0,,5.0,6.0,2.0,,7.0,4.0,4.0,,4.0,5.0,3.0,,5.0,6.0,2.0,,1.0,1.0,0.0,,Calgary Flames
24,1981,CHI,,,,,3.0,3.0,5.0,,6.0,4.0,3.0,,5.0,7.0,1.0,,3.0,11.0,1.0,,6.0,7.0,0.0,,5.0,6.0,2.0,,2.0,0.0,0.0,,Chicago Black Hawks
25,1981,COR,,,,,2.0,7.0,2.0,,1.0,10.0,3.0,,6.0,6.0,1.0,,2.0,11.0,2.0,,3.0,6.0,3.0,,3.0,8.0,2.0,,1.0,1.0,0.0,,Colorado Rockies
26,1981,DET,,,,,4.0,5.0,2.0,,3.0,8.0,3.0,,3.0,9.0,1.0,,4.0,6.0,4.0,,4.0,7.0,2.0,,3.0,11.0,0.0,,0.0,1.0,0.0,,Detroit Red Wings
27,1981,EDM,,,,,9.0,4.0,0.0,,8.0,2.0,3.0,,8.0,3.0,3.0,,8.0,3.0,4.0,,9.0,1.0,1.0,,5.0,4.0,4.0,,1.0,0.0,0.0,,Edmonton Oilers
28,1981,HAR,,,,,1.0,4.0,5.0,,3.0,7.0,3.0,,6.0,7.0,1.0,,4.0,6.0,3.0,,3.0,8.0,2.0,,4.0,8.0,3.0,,0.0,1.0,1.0,,Hartford Whalers
29,1981,LAK,,,,,6.0,6.0,0.0,,4.0,8.0,0.0,,3.0,7.0,3.0,,1.0,6.0,8.0,,3.0,5.0,2.0,,7.0,7.0,2.0,,0.0,2.0,0.0,,Los Angeles Kings
30,1981,MNS,,,,,7.0,2.0,2.0,,5.0,2.0,6.0,,2.0,7.0,4.0,,7.0,5.0,3.0,,6.0,3.0,4.0,,9.0,3.0,1.0,,1.0,1.0,0.0,,Minnesota North Stars
31,1981,MTL,,,,,6.0,1.0,4.0,,6.0,4.0,2.0,,8.0,3.0,3.0,,7.0,3.0,3.0,,9.0,1.0,4.0,,10.0,3.0,1.0,,0.0,2.0,0.0,,Montreal Canadiens
32,1981,NYI,,,,,8.0,1.0,2.0,,6.0,5.0,2.0,,7.0,5.0,1.0,,9.0,2.0,1.0,,12.0,1.0,1.0,,11.0,1.0,2.0,,1.0,1.0,1.0,,New York Islanders
33,1981,NYR,,,,,3.0,8.0,0.0,,5.0,5.0,3.0,,7.0,4.0,2.0,,9.0,3.0,2.0,,6.0,3.0,3.0,,9.0,3.0,3.0,,0.0,1.0,1.0,,New York Rangers
34,1981,PHI,,,,,8.0,2.0,1.0,,4.0,8.0,0.0,,10.0,3.0,0.0,,6.0,6.0,3.0,,4.0,6.0,2.0,,5.0,5.0,4.0,,1.0,1.0,1.0,,Philadelphia Flyers
35,1981,PIT,,,,,5.0,7.0,2.0,,7.0,1.0,2.0,,4.0,7.0,2.0,,5.0,8.0,2.0,,3.0,8.0,2.0,,5.0,5.0,3.0,,2.0,0.0,0.0,,Pittsburgh Penguins
36,1981,QUE,,,,,7.0,6.0,0.0,,7.0,4.0,4.0,,5.0,5.0,1.0,,6.0,5.0,3.0,,4.0,3.0,5.0,,2.0,7.0,3.0,,2.0,1.0,0.0,,Quebec Nordiques
