month,name,L,OL,T,W
1980-04,Boston Bruins,2.0,,0.0,1.0
1980-12,Boston Bruins,6.0,,1.0,6.0
1980-02,Boston Bruins,4.0,,2.0,6.0
1980-01,Boston Bruins,4.0,,1.0,9.0
1980-03,Boston Bruins,4.0,,3.0,8.0
1980-11,Boston Bruins,3.0,,5.0,5.0
1980-10,Boston Bruins,7.0,,1.0,2.0
1980-04,Buffalo Sabres,1.0,,1.0,1.0
1980-12,Buffalo Sabres,3.0,,4.0,5.0
1980-02,Buffalo Sabres,3.0,,3.0,6.0
1980-01,Buffalo Sabres,1.0,,7.0,6.0
1980-03,Buffalo Sabres,6.0,,1.0,8.0
1980-11,Buffalo Sabres,4.0,,3.0,8.0
1980-10,Buffalo Sabres,2.0,,2.0,5.0
1980-04,Calgary Flames,0.0,,0.0,2.0
1980-12,Calgary Flames,3.0,,3.0,6.0
1980-02,Calgary Flames,2.0,,1.0,9.0
1980-01,Calgary Flames,7.0,,3.0,6.0
1980-03,Calgary Flames,6.0,,2.0,6.0
1980-11,Calgary Flames,5.0,,3.0,5.0
1980-10,Calgary Flames,4.0,,2.0,5.0
1980-04,Chicago Black Hawks,1.0,,1.0,1.0
1980-12,Chicago Black Hawks,9.0,,1.0,3.0
1980-02,Chicago Black Hawks,3.0,,4.0,5.0
1980-01,Chicago Black Hawks,3.0,,1.0,9.0
1980-03,Chicago Black Hawks,5.0,,4.0,4.0
1980-11,Chicago Black Hawks,8.0,,3.0,3.0
1980-10,Chicago Black Hawks,4.0,,2.0,6.0
1980-04,Colorado Rockies,1.0,,2.0,0.0
1980-12,Colorado Rockies,9.0,,2.0,4.0
1980-02,Colorado Rockies,8.0,,2.0,2.0
1980-01,Colorado Rockies,8.0,,2.0,3.0
1980-03,Colorado Rockies,9.0,,1.0,4.0
1980-11,Colorado Rockies,6.0,,2.0,5.0
1980-10,Colorado Rockies,4.0,,2.0,4.0
1980-04,Detroit Red Wings,2.0,,1.0,0.0
1980-12,Detroit Red Wings,4.0,,3.0,7.0
1980-02,Detroit Red Wings,6.0,,1.0,5.0
1980-01,Detroit Red Wings,7.0,,4.0,3.0
1980-03,Detroit Red Wings,9.0,,5.0,1.0
1980-11,Detroit Red Wings,8.0,,3.0,1.0
1980-10,Detroit Red Wings,7.0,,1.0,2.0
1980-04,Edmonton Oilers,0.0,,1.0,2.0
1980-12,Edmonton Oilers,9.0,,1.0,2.0
1980-02,Edmonton Oilers,7.0,,2.0,5.0
1980-01,Edmonton Oilers,4.0,,2.0,8.0
1980-03,Edmonton Oilers,3.0,,5.0,6.0
1980-11,Edmonton Oilers,8.0,,2.0,4.0
1980-10,Edmonton Oilers,4.0,,3.0,2.0
1980-04,Hartford Whalers,2.0,,0.0,1.0
1980-12,Hartford Whalers,3.0,,4.0,5.0
1980-02,Hartford Whalers,5.0,,5.0,2.0
1980-01,Hartford Whalers,10.0,,3.0,2.0
1980-03,Hartford Whalers,9.0,,2.0,3.0
1980-11,Hartford Whalers,8.0,,2.0,3.0
1980-10,Hartford Whalers,4.0,,2.0,5.0
1980-04,Los Angeles Kings,1.0,,1.0,0.0
1980-12,Los Angeles Kings,4.0,,3.0,8.0
1980-02,Los Angeles Kings,6.0,,2.0,3.0
1980-01,Los Angeles Kings,5.0,,3.0,7.0
1980-03,Los Angeles Kings,2.0,,3.0,9.0
1980-11,Los Angeles Kings,5.0,,0.0,9.0
1980-10,Los Angeles Kings,1.0,,1.0,7.0
1980-04,Minnesota North Stars,1.0,,0.0,1.0
1980-12,Minnesota North Stars,4.0,,4.0,6.0
1980-02,Minnesota North Stars,8.0,,2.0,4.0
1980-01,Minnesota North Stars,5.0,,4.0,7.0
1980-03,Minnesota North Stars,5.0,,3.0,5.0
1980-11,Minnesota North Stars,4.0,,2.0,7.0
1980-10,Minnesota North Stars,1.0,,2.0,5.0
1980-04,Montreal Canadiens,0.0,,0.0,2.0
1980-12,Montreal Canadiens,3.0,,2.0,8.0
1980-02,Montreal Canadiens,0.0,,3.0,9.0
1980-01,Montreal Canadiens,5.0,,2.0,7.0
1980-03,Montreal Canadiens,4.0,,4.0,7.0
1980-11,Montreal Canadiens,4.0,,1.0,9.0
1980-10,Montreal Canadiens,6.0,,1.0,3.0
1980-04,New York Islanders,0.0,,0.0,3.0
1980-12,New York Islanders,2.0,,3.0,8.0
1980-02,New York Islanders,5.0,,2.0,5.0
1980-01,New York Islanders,5.0,,0.0,9.0
1980-03,New York Islanders,1.0,,4.0,7.0
1980-11,New York Islanders,1.0,,2.0,12.0
1980-10,New York Islanders,4.0,,3.0,4.0
1980-04,New York Rangers,1.0,,0.0,2.0
1980-12,New York Rangers,6.0,,1.0,7.0
1980-02,New York Rangers,7.0,,1.0,5.0
1980-01,New York Rangers,4.0,,3.0,6.0
1980-03,New York Rangers,4.0,,5.0,4.0
1980-11,New York Rangers,7.0,,3.0,3.0
1980-10,New York Rangers,7.0,,1.0,3.0
1980-04,Philadelphia Flyers,1.0,,1.0,0.0
1980-12,Philadelphia Flyers,4.0,,1.0,7.0
1980-02,Philadelphia Flyers,5.0,,2.0,6.0
1980-01,Philadelphia Flyers,5.0,,3.0,6.0
1980-03,Philadelphia Flyers,4.0,,4.0,5.0
1980-11,Philadelphia Flyers,2.0,,3.0,10.0
1980-10,Philadelphia Flyers,3.0,,1.0,7.0
1980-04,Pittsburgh Penguins,1.0,,1.0,1.0
1980-12,Pittsburgh Penguins,6.0,,3.0,5.0
1980-02,Pittsburgh Penguins,5.0,,1.0,7.0
1980-01,Pittsburgh Penguins,6.0,,1.0,6.0
1980-03,Pittsburgh Penguins,6.0,,3.0,5.0
1980-11,Pittsburgh Penguins,8.0,,3.0,2.0
1980-10,Pittsburgh Penguins,5.0,,1.0,4.0
1980-04,Quebec Nordiques,2.0,,1.0,0.0
1980-12,Quebec Nordiques,6.0,,2.0,5.0
1980-02,Quebec Nordiques,2.0,,0.0,10.0
1980-01,Quebec Nordiques,8.0,,5.0,2.0
1980-03,Quebec Nordiques,2.0,,4.0,8.0
1980-11,Quebec Nordiques,6.0,,3.0,4.0
1980-10,Quebec Nordiques,6.0,,3.0,1.0
1980-04,St. Louis Blues,1.0,,1.0,1.0
1980-12,St. Louis Blues,3.0,,1.0,9.0
1980-02,St. Louis Blues,1.0,,5.0,8.0
1980-01,St. Louis Blues,3.0,,3.0,6.0
1980-03,St. Louis Blues,4.0,,3.0,6.0
1980-11,St. Louis Blues,4.0,,1.0,9.0
1980-10,St. Louis Blues,2.0,,3.0,6.0
1980-04,Toronto Maple Leafs,0.0,,2.0,1.0
1980-12,Toronto Maple Leafs,8.0,,2.0,4.0
1980-02,Toronto Maple Leafs,4.0,,1.0,6.0
1980-01,Toronto Maple Leafs,8.0,,4.0,4.0
1980-03,Toronto Maple Leafs,7.0,,3.0,4.0
1980-11,Toronto Maple Leafs,7.0,,2.0,3.0
1980-10,Toronto Maple Leafs,3.0,,1.0,6.0
1980-04,Vancouver Canucks,2.0,,1.0,0.0
1980-12,Vancouver Canucks,4.0,,5.0,4.0
1980-02,Vancouver Canucks,9.0,,2.0,2.0
1980-01,Vancouver Canucks,5.0,,5.0,3.0
1980-03,Vancouver Canucks,5.0,,2.0,6.0
1980-11,Vancouver Canucks,4.0,,4.0,7.0
1980-10,Vancouver Canucks,3.0,,1.0,6.0
1980-04,Washington Capitals,1.0,,0.0,2.0
1980-12,Washington Capitals,7.0,,2.0,5.0
1980-02,Washington Capitals,7.0,,4.0,1.0
1980-01,Washington Capitals,8.0,,1.0,5.0
1980-03,Washington Capitals,7.0,,2.0,5.0
1980-11,Washington Capitals,2.0,,6.0,5.0
1980-10,Washington Capitals,4.0,,3.0,3.0
1980-04,Winnipeg Jets,1.0,,2.0,0.0
1980-12,Winnipeg Jets,12.0,,0.0,1.0
1980-02,Winnipeg Jets,10.0,,1.0,1.0
1980-01,Winnipeg Jets,7.0,,3.0,4.0
1980-03,Winnipeg Jets,11.0,,1.0,2.0
1980-11,Winnipeg Jets,10.0,,5.0,0.0
1980-10,Winnipeg Jets,6.0,,2.0,1.0
1981-04,Boston Bruins,1.0,,0.0,2.0
1981-12,Boston Bruins,3.0,,0.0,9.0
1981-02,Boston Bruins,5.0,,1.0,5.0
1981-01,Boston Bruins,6.0,,3.0,7.0
1981-03,Boston Bruins,5.0,,2.0,7.0
1981-11,Boston Bruins,5.0,,1.0,7.0
1981-10,Boston Bruins,2.0,,3.0,6.0
1981-04,Buffalo Sabres,1.0,,0.0,1.0
1981-12,Buffalo Sabres,5.0,,1.0,8.0
1981-02,Buffalo Sabres,5.0,,3.0,4.0
1981-01,Buffalo Sabres,4.0,,1.0,9.0
1981-03,Buffalo Sabres,6.0,,3.0,5.0
1981-11,Buffalo Sabres,2.0,,4.0,7.0
1981-10,Buffalo Sabres,3.0,,3.0,5.0
1981-04,Calgary Flames,1.0,,0.0,1.0
1981-12,Calgary Flames,6.0,,2.0,5.0
1981-02,Calgary Flames,5.0,,3.0,4.0
1981-01,Calgary Flames,4.0,,4.0,7.0
1981-03,Calgary Flames,6.0,,2.0,5.0
1981-11,Calgary Flames,5.0,,4.0,5.0
1981-10,Calgary Flames,7.0,,2.0,2.0
1981-04,Chicago Black Hawks,0.0,,0.0,2.0
1981-12,Chicago Black Hawks,7.0,,1.0,5.0
1981-02,Chicago Black Hawks,7.0,,0.0,6.0
1981-01,Chicago Black Hawks,11.0,,1.0,3.0
1981-03,Chicago Black Hawks,6.0,,2.0,5.0
1981-11,Chicago Black Hawks,4.0,,3.0,6.0
1981-10,Chicago Black Hawks,3.0,,5.0,3.0
1981-04,Colorado Rockies,1.0,,0.0,1.0
1981-12,Colorado Rockies,6.0,,1.0,6.0
1981-02,Colorado Rockies,6.0,,3.0,3.0
1981-01,Colorado Rockies,11.0,,2.0,2.0
1981-03,Colorado Rockies,8.0,,2.0,3.0
1981-11,Colorado Rockies,10.0,,3.0,1.0
1981-10,Colorado Rockies,7.0,,2.0,2.0
1981-04,Detroit Red Wings,1.0,,0.0,0.0
1981-12,Detroit Red Wings,9.0,,1.0,3.0
1981-02,Detroit Red Wings,7.0,,2.0,4.0
1981-01,Detroit Red Wings,6.0,,4.0,4.0
1981-03,Detroit Red Wings,11.0,,0.0,3.0
1981-11,Detroit Red Wings,8.0,,3.0,3.0
1981-10,Detroit Red Wings,5.0,,2.0,4.0
1981-04,Edmonton Oilers,0.0,,0.0,1.0
1981-12,Edmonton Oilers,3.0,,3.0,8.0
1981-02,Edmonton Oilers,1.0,,1.0,9.0
1981-01,Edmonton Oilers,3.0,,4.0,8.0
1981-03,Edmonton Oilers,4.0,,4.0,5.0
1981-11,Edmonton Oilers,2.0,,3.0,8.0
1981-10,Edmonton Oilers,4.0,,0.0,9.0
1981-04,Hartford Whalers,1.0,,1.0,0.0
1981-12,Hartford Whalers,7.0,,1.0,6.0
1981-02,Hartford Whalers,8.0,,2.0,3.0
1981-01,Hartford Whalers,6.0,,3.0,4.0
1981-03,Hartford Whalers,8.0,,3.0,4.0
1981-11,Hartford Whalers,7.0,,3.0,3.0
1981-10,Hartford Whalers,4.0,,5.0,1.0
1981-04,Los Angeles Kings,2.0,,0.0,0.0
1981-12,Los Angeles Kings,7.0,,3.0,3.0
1981-02,Los Angeles Kings,5.0,,2.0,3.0
1981-01,Los Angeles Kings,6.0,,8.0,1.0
1981-03,Los Angeles Kings,7.0,,2.0,7.0
